Date,Weekly_Sales,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,total_markdown,IsPromotion,IsHoliday,Fuel_Price
2010-02-05,49750875.98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.717940976933514
2010-02-12,48336800.1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.6959552390640895
2010-02-19,48277902.33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.6735873443285088
2010-02-26,43970440.65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.6854492014950733
2010-03-05,46872715.16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.731923024523161
2010-03-12,45926841.32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.7743599320882852
2010-03-19,44989431.42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.816062734401637
2010-03-26,44134583.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.823445766746005
2010-04-02,50424232.22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.8253826027862727
2010-04-09,47365466.31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.852425466893039
2010-04-16,45183702.69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.8872747364841893
2010-04-23,44734552.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.881722640218878
2010-04-30,43706044.18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.8912372764786793
2010-05-07,48503424.39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.9318072041166383
2010-05-14,45330146.41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.9465221269296746
2010-05-21,45120250.64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.923671497584541
2010-05-28,47757773.63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.8664580600621328
2010-06-04,50188767.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.8096411318150447
2010-06-11,47826673.98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.7882418075198343
2010-06-18,47622191.19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.7636590051457977
2010-06-25,46609279.67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.7905707401032704
2010-07-02,48917953.47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.7931247851495358
2010-07-09,47899738.27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.782637210907836
2010-07-16,46243964.08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.762740510697032
2010-07-23,44889146.07,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.7615442083618915
2010-07-30,44631854.44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.766046423658872
2010-08-06,48205253.28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.775074879227053
2010-08-13,46464427.88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.8061337249481686
2010-08-20,47061664.12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.783132596685083
2010-08-27,45910212.69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.7618116793365584
2010-09-03,47194854.46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.740673175745118
2010-09-10,45635418.66,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.720868376068376
2010-09-17,43081750.91,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.733565410958904
2010-09-24,41359671.97,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.7378510783978087
2010-10-01,42240037.61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.7329928278688524
2010-10-08,45108084.83,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.7589706384431545
2010-10-15,43151409.44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.834933014354067
2010-10-22,43066757.33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.851795423497268
2010-10-29,43603288.95,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.8565507345404852
2010-11-05,45782283.73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.844566005471956
2010-11-12,46124900.63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.8725056564964007
2010-11-19,45126774.34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.912541552197802
2010-11-26,65821216.26,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.9193662116040957
2010-12-03,49910639.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.8926258943781944
2010-12-10,55667840.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.979479060265577
2010-12-17,61821317.85,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0085089739248225
2010-12-24,80931586.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0227649051490517
2010-12-31,40434740.42,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3.0513415384615388
2011-01-07,42776317.46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.091375772134523
2011-01-14,40673850.98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.106394583476174
2011-01-21,40654860.31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.128295532646048
2011-01-28,39600376.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.1375793269230767
2011-02-04,46153610.74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.136583818992115
2011-02-11,47336816.9,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3.1637151142954623
2011-02-18,48716194.66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.1834736663268774
2011-02-25,44126019.85,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.213403760683761
2011-03-04,46980864.59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.39458010862186
2011-03-11,44628496.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.537778305084746
2011-03-18,44872646.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.5780605648179655
2011-03-25,42878001.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.576166041595636
2011-04-01,43459828.12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.6023173306094654
2011-04-08,45888090.49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.6950464322294296
2011-04-15,44974193.91,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.792544991511036
2011-04-22,48676782.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.8573229413758043
2011-04-29,43530206.49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.9012046148625723
2011-05-06,46862068.62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.9800978407557355
2011-05-13,45446375.35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.990715444406894
2011-05-20,44046950.89,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.9870636114911084
2011-05-27,45293673.35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.904353242320819
2011-06-03,48772105.36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.839847026469577
2011-06-10,47669913.72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.803514796971782
2011-06-17,47447755.54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.772128878281623
2011-06-24,45885189.93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.7306295789113317
2011-07-01,47580673.79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.6780997600274254
2011-07-08,47859714.06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.630888508891929
2011-07-15,45516616.88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.6774567604667125
2011-07-22,45274519.37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.7277267421901823
2011-07-29,43683474.98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.748518734960468
2011-08-05,48016880.04,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.7609142955090844
2011-08-12,46249873.18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.7274645669291337
2011-08-19,46917761.66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.6704143439836847
2011-08-26,47417097.58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.640635222259925
2011-09-02,45381078.94,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.6536605442176873
2011-09-09,46763760.42,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3.6848580142324634
2011-09-16,43794071.65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.6838688692098094
2011-09-23,42719131.48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.6390716468590836
2011-09-30,42197389.67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.5815486725663717
2011-10-07,47212027.93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.5217736360555745
2011-10-14,44375338.95,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.49032042133877
2011-10-21,45819680.12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.545522403258656
2011-10-28,45856004.32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.541896143437077
2011-11-04,48655867.81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.5227566191446025
2011-11-11,48474277.53,33836931.55,28568582.68,924590.15,10737987.16,14660103.7,88728195.24,1,0,3.4907425675675676
2011-11-18,46439392.44,18663763.45,2006714.38,319738.98,2144961.24,17429465.18,40564643.23,1,0,3.4887790579464593
2011-11-25,66593835.85,1744375.56,527927.62,171546753.28,175322.2,5745003.88,179739382.54,1,1,3.434941644562334
2011-12-02,49390609.94,13647249.15,230647.27,10739302.46,8102437.2,55890928.89,88610564.97,1,0,3.3961391304347828
2011-12-09,55561557.73,13970758.209999999,79390.53,1014576.9,6981113.26,29181050.36,51226889.26,1,0,3.363338220593136
2011-12-16,60086723.16,9578073.98,187116.59,2180211.27,1648956.1300000001,12162536.86,25756894.83,1,0,3.3357646666666665
2011-12-23,76999773.57,3443466.82,172458.43,3415369.61,272203.38,10051155.75,17354653.99,1,0,3.293476647896654
2011-12-30,46044300.91,12233458.64,124748121.69,485605.7,2084726.85,7913195.18,147465108.05999997,1,1,3.2731688442211055
2012-01-06,44955766.39,14934718.9,66689785.78,350918.59,3066148.5100000002,15426360.120000001,100467931.90000002,1,0,3.30150253121836
2012-01-13,42023513.51,10154438.0,29055438.27,217894.9,1555542.3800000001,11360349.8,52343663.349999994,1,0,3.372633468834688
2012-01-20,42082070.32,7188275.76,9797707.87,213551.07,1937703.56,8378984.84,27516223.099999998,1,0,3.392674355495251
2012-01-27,39835117.15,4405174.05,5154369.69,213069.17,295191.21,7894908.72,17962712.84,1,0,3.4114548233695654
2012-02-03,46085809.81,113765356.36,8909230.13,447674.83,90573796.47,18544229.75,232240287.54,1,0,3.4533860652978796
2012-02-10,50010196.6,33803304.47,13735888.01,222619.54,28623896.11,18144866.42,94530574.55,1,1,3.5010624582498333
2012-02-17,50197325.48,34808614.24,24904452.63,55302.32,19675065.66,18085486.26,97528921.11000001,1,0,3.5625846666666665
2012-02-24,45771879.72,27876865.07,17510064.82,13338.14,8524477.43,17388286.03,71313031.49000001,1,0,3.6189837563451777
2012-03-02,46861342.89,49765494.88,4788962.83,85047.88,34229771.91,10564374.04,99433651.53999999,1,0,3.69565338245144
2012-03-09,47482677.99,24714077.97,1431967.53,16762.77,9118959.28,14040985.709999999,49322753.26,1,0,3.7519264755480606
2012-03-16,46902365.23,15346740.05,531886.62,10806.960000000001,6270227.19,7950302.04,30109962.86,1,0,3.82403282571912
2012-03-23,44994361.91,13875918.28,499560.7,10575.78,2658494.2,7789353.39,24833902.349999998,1,0,3.8650734348561757
2012-03-30,45273064.44,23215409.23,342247.8,15611.64,3419137.44,9268420.85,36260826.96,1,0,3.9306699390656736
2012-04-06,53502476.06,24898867.76,28917.37,108760.85,7402555.54,15117292.07,47556393.59,1,0,3.9636590450571623
2012-04-13,46629682.72,14981883.44,15081275.86,57790.66,4125726.76,7500358.04,41747034.76,1,0,3.99746192722372
2012-04-20,45073217.62,16214326.07,7694175.21,66157.77,2038659.71,10126291.26,36139610.02,1,0,3.9853272665992585
2012-04-27,43717315.31,8841710.24,416505.96,70854.4,488105.08,9226579.27,19043754.950000003,1,0,3.952656462585034
2012-05-04,47124459.51,34476329.14,106268.0,264063.48,11270765.62,9428127.69,55545553.92999999,1,0,3.9081400884053044
2012-05-11,46926829.21,29600533.77,27168.0,174332.93,6197841.33,8830140.47,44830016.5,1,0,3.8697894380501014
2012-05-18,46824854.84,18326715.39,36864.0,144516.6,3677541.48,10022826.85,32208464.32,1,0,3.833132017693093
2012-05-25,47892949.14,19685515.5,33880.0,1257609.96,3777562.58,10414900.27,35169468.31,1,0,3.788680669398907
2012-06-01,48281966.93,21392136.46,58126.2,318758.05,4814708.89,9059378.23,35643107.83,1,0,3.7481058020477818
2012-06-08,49651327.57,21897325.58,556156.8,208344.65,3859587.23,17043076.96,43564491.22,1,0,3.689747539871055
2012-06-15,48412578.62,19711863.69,607504.57,145546.82,5443785.74,11866779.54,37775480.36,1,0,3.6441026512576475
2012-06-22,47668384.18,18385248.93,978914.25,32282.55,7075881.8,21350486.46,47822813.99,1,0,3.590814701897019
2012-06-29,46597343.31,11873318.37,660026.55,17.28,2236679.01,14838040.37,29608081.58,1,0,3.523920944558521
2012-07-06,51253625.62,20054746.44,537699.85,197426.55,11340827.17,19380972.66,51511672.67,1,0,3.4639806779661018
2012-07-13,46100396.02,16047276.87,275741.31,43992.14,7438010.74,19167967.62,42972988.68000001,1,0,3.481992869269949
2012-07-20,46059876.27,10002446.72,325532.75,60884.5,4664727.11,17736037.47,32789628.55,1,0,3.5045062775704108
2012-07-27,44097388.27,13031234.48,393973.19,11399.01,15086832.73,11926862.33,40450301.74,1,0,3.5801621067031464
2012-08-03,47486123.19,60371552.63,347244.86,95341.69,34204843.9,10353560.75,105372543.83,1,0,3.568855645706558
2012-08-10,47403826.18,32150139.919999998,293843.18,99101.97,11824771.74,10664983.17,55032839.98,1,0,3.6340566870332656
2012-08-17,47355393.13,9521201.38,189588.99,24998.75,5902401.11,8725283.540000001,24363473.770000003,1,0,3.7214268251273346
2012-08-24,47449420.62,14551508.89,175695.86,187658.26,10290403.9,13732183.75,38937450.66,1,0,3.760536138445877
2012-08-31,47159931.47,46415630.89,125344.2,168968.63,18230479.39,11408415.62,76348838.73,1,0,3.7704441435341907
2012-09-07,48330449.03,26501241.32,78575.48,226889.3,6012208.85,10485613.05,43304528.0,1,1,3.8417818735204596
2012-09-14,44226897.92,22557132.16,19372.079999999998,62987.85,3857985.1,17819735.0,44317212.19,1,0,3.8538107468739438
2012-09-21,44354937.08,20698842.69,167556.4,133747.44999999998,3846466.4,19387579.27,44234192.20999999,1,0,3.910432926829268
2012-09-28,43735713.56,14451609.34,56298.54,15491.09,5020072.96,12536021.25,32079493.18,1,0,3.858016598915989
2012-10-05,47567053.49,14963181.540000001,0.0,59313.01,8336462.24,10748526.93,34107483.72,1,0,3.8484391641388607
2012-10-12,46128909.98,5827442.08,0.0,49975.57,1659507.32,16708284.32,24245209.29,1,0,3.8969889224572003
2012-10-19,45122443.96,5649154.5,0.0,38903.96,1273331.14,9746489.22,16707878.82,1,0,3.878274177129284
2012-10-26,45544379.53,14564265.92,203048.0,194299.16,1868266.8800000001,5587308.08,22417188.04,1,0,3.7907797356828197
